,ranking,points,tournamentsPlayed,movement,rankedAt,player.id,player.firstName,player.lastName,player.fullName,player.countryCode,player.dateOfBirth,player.metadata
0,1,8990,18,0,2023-07-03T00:00:00Z,326408,Iga,Swiatek,Iga Swiatek,POL,2001-05-31,
1,2,8066,17,0,2023-07-03T00:00:00Z,320760,Aryna,Sabalenka,Aryna Sabalenka,BLR,1998-05-05,
2,3,5090,20,0,2023-07-03T00:00:00Z,324166,Elena,Rybakina,Elena Rybakina,KAZ,1999-06-17,
3,4,4995,18,0,2023-07-03T00:00:00Z,316956,Jessica,Pegula,Jessica Pegula,USA,1994-02-24,
4,5,4845,25,0,2023-07-03T00:00:00Z,315391,Caroline,Garcia,Caroline Garcia,FRA,1993-10-16,
5,6,3547,17,0,2023-07-03T00:00:00Z,316847,Ons,Jabeur,Ons Jabeur,TUN,1994-08-28,
6,7,3435,19,0,2023-07-03T00:00:00Z,328560,Coco,Gauff,Coco Gauff,USA,2004-03-13,
7,8,3301,22,0,2023-07-03T00:00:00Z,318312,Maria,Sakkari,Maria Sakkari,GRE,1995-07-25,
8,9,3101,15,0,2023-07-03T00:00:00Z,314206,Petra,Kvitova,Petra Kvitova,CZE,1990-03-08,
9,10,2935,25,1,2023-07-03T00:00:00Z,322082,Daria,Kasatkina,Daria Kasatkina,RUS,1997-05-07,
10,11,2830,22,-1,2023-07-03T00:00:00Z,318314,Barbora,Krejcikova,Barbora Krejcikova,CZE,1995-12-18,
11,12,2600,22,0,2023-07-03T00:00:00Z,319526,Veronika,Kudermetova,Veronika Kudermetova,RUS,1997-04-24,
12,13,2560,23,0,2023-07-03T00:00:00Z,318176,Beatriz,Haddad Maia,Beatriz Haddad Maia,BRA,1996-05-30,
13,14,2380,18,0,2023-07-03T00:00:00Z,319001,Belinda,Bencic,Belinda Bencic,SUI,1997-03-10,
14,15,2360,21,0,2023-07-03T00:00:00Z,322222,Liudmila,Samsonova,Liudmila Samsonova,RUS,1998-11-11,
15,16,2294,15,0,2023-07-03T00:00:00Z,322191,Karolina,Muchova,Karolina Muchova,CZE,1996-08-21,
16,17,2150,21,0,2023-07-03T00:00:00Z,319939,Jelena,Ostapenko,Jelena Ostapenko,LAT,1997-06-08,
17,18,2106,19,7,2023-07-03T00:00:00Z,316959,Madison,Keys,Madison Keys,USA,1995-02-17,
18,19,2055,22,-1,2023-07-03T00:00:00Z,313974,Karolina,Pliskova,Karolina Pliskova,CZE,1992-03-21,
19,20,1996,18,-1,2023-07-03T00:00:00Z,312001,Victoria,Azarenka,Victoria Azarenka,BLR,1989-07-31,
20,21,1975,20,-1,2023-07-03T00:00:00Z,318516,Donna,Vekic,Donna Vekic,CRO,1996-06-28,
21,22,1915,21,-1,2023-07-03T00:00:00Z,319007,Ekaterina,Alexandrova,Ekaterina Alexandrova,RUS,1994-11-15,
22,23,1845,22,-1,2023-07-03T00:00:00Z,325601,Anastasia,Potapova,Anastasia Potapova,RUS,2001-03-30,
23,24,1765,25,-1,2023-07-03T00:00:00Z,315130,Magda,Linette,Magda Linette,POL,1992-02-12,
24,25,1669,19,-1,2023-07-03T00:00:00Z,328120,Qinwen,Zheng,Qinwen Zheng,CHN,2002-10-08,
25,26,1527,26,0,2023-07-03T00:00:00Z,320567,Anhelina,Kalinina,Anhelina Kalinina,UKR,1997-02-07,
26,27,1519,25,0,2023-07-03T00:00:00Z,317708,Bernarda,Pera,Bernarda Pera,USA,1994-12-03,
27,28,1424,22,0,2023-07-03T00:00:00Z,317964,Elise,Mertens,Elise Mertens,BEL,1995-11-17,
28,29,1418,18,1,2023-07-03T00:00:00Z,313711,Petra,Martic,Petra Martic,CRO,1991-01-19,
29,30,1342,17,-1,2023-07-03T00:00:00Z,313169,Irina-Camelia,Begu,Irina-Camelia Begu,ROU,1990-08-26,
30,31,1266,25,0,2023-07-03T00:00:00Z,318711,Mayar,Sherif,Mayar Sherif,EGY,1996-05-05,
31,32,1264,21,20,2023-07-03T00:00:00Z,320301,Katerina,Siniakova,Katerina Siniakova,CZE,1996-05-10,
32,33,1258,22,-1,2023-07-03T00:00:00Z,320983,Marie,Bouzkova,Marie Bouzkova,CZE,1998-07-21,
33,34,1247,24,-1,2023-07-03T00:00:00Z,317306,Lin,Zhu,Lin Zhu,CHN,1994-01-28,
34,35,1233,20,-1,2023-07-03T00:00:00Z,320124,Paula,Badosa,Paula Badosa,ESP,1997-11-15,
35,36,1200,21,-1,2023-07-03T00:00:00Z,326482,Marta,Kostyuk,Marta Kostyuk,UKR,2002-06-28,
36,37,1187,20,-1,2023-07-03T00:00:00Z,312469,Sorana,Cirstea,Sorana Cirstea,ROU,1990-04-07,
37,38,1173,31,-1,2023-07-03T00:00:00Z,311779,Shuai,Zhang,Shuai Zhang,CHN,1989-01-21,
38,39,1170,20,-1,2023-07-03T00:00:00Z,315683,Sloane,Stephens,Sloane Stephens,USA,1993-03-20,
39,40,1153,31,-1,2023-07-03T00:00:00Z,324267,Anna,Blinkova,Anna Blinkova,RUS,1998-09-10,
40,41,1118,35,2,2023-07-03T00:00:00Z,325836,Varvara,Gracheva,Varvara Gracheva,FRA,2000-08-02,
41,42,1106,14,-2,2023-07-03T00:00:00Z,323027,Marketa,Vondrousova,Marketa Vondrousova,CZE,1999-06-28,
42,43,1100,25,-2,2023-07-03T00:00:00Z,327909,Elisabetta,Cocciaretto,Elisabetta Cocciaretto,ITA,2001-01-25,
43,44,1100,29,-2,2023-07-03T00:00:00Z,319280,Jasmine,Paolini,Jasmine Paolini,ITA,1996-01-04,
44,45,1067,23,0,2023-07-03T00:00:00Z,329668,Linda,Noskova,Linda Noskova,CZE,2004-11-17,
