,ranking,points,tournamentsPlayed,movement,rankedAt,player.id,player.firstName,player.lastName,player.fullName,player.countryCode,player.dateOfBirth,player.metadata
45,46,1056,26,-2,2023-07-03T00:00:00Z,317414,Lauren,Davis,Lauren Davis,USA,1993-10-09,
46,47,1052,28,18,2023-07-03T00:00:00Z,322280,Lucia,Bronzetti,Lucia Bronzetti,ITA,1998-12-10,
47,48,1049,18,19,2023-07-03T00:00:00Z,314610,Camila,Giorgi,Camila Giorgi,ITA,1991-12-30,
48,49,1045,17,-3,2023-07-03T00:00:00Z,317421,Shelby,Rogers,Shelby Rogers,USA,1992-10-13,
49,50,1027,18,1,2023-07-03T00:00:00Z,325088,Bianca,Andreescu,Bianca Andreescu,CAN,2000-06-16,
50,51,1026,29,-4,2023-07-03T00:00:00Z,326007,Alycia,Parks,Alycia Parks,USA,2000-12-31,
51,52,1013,18,-4,2023-07-03T00:00:00Z,316925,Danielle,Collins,Danielle Collins,USA,1993-12-13,
52,53,1001,21,-4,2023-07-03T00:00:00Z,329627,Linda,Fruhvirtova,Linda Fruhvirtova,CZE,2005-05-01,
53,54,1000,10,-4,2023-07-03T00:00:00Z,314320,Simona,Halep,Simona Halep,ROU,1991-09-27,
54,55,999,30,5,2023-07-03T00:00:00Z,325410,Emma,Navarro,Emma Navarro,USA,2001-05-18,
55,56,981,21,-3,2023-07-03T00:00:00Z,317683,Yulia,Putintseva,Yulia Putintseva,KAZ,1995-01-07,
56,57,972,23,4,2023-07-03T00:00:00Z,315427,Ana,Bogdan,Ana Bogdan,ROU,1992-11-25,
57,58,970,33,-4,2023-07-03T00:00:00Z,320316,Julia,Grabher,Julia Grabher,AUT,1996-07-02,
58,59,961,27,-4,2023-07-03T00:00:00Z,327573,Peyton,Stearns,Peyton Stearns,USA,2001-10-08,
59,60,942,16,-4,2023-07-03T00:00:00Z,315295,Lesia,Tsurenko,Lesia Tsurenko,UKR,1989-05-30,
60,61,933,20,-4,2023-07-03T00:00:00Z,323942,Anna,Kalinskaya,Anna Kalinskaya,RUS,1998-12-02,
61,62,920,33,-4,2023-07-03T00:00:00Z,310440,Tatjana,Maria,Tatjana Maria,GER,1987-08-08,
62,63,912,10,-4,2023-07-03T00:00:00Z,315232,Ajla,Tomljanovic,Ajla Tomljanovic,AUS,1993-05-07,
63,64,897,23,-2,2023-07-03T00:00:00Z,316266,Martina,Trevisan,Martina Trevisan,ITA,1993-11-03,
64,65,887,22,8,2023-07-03T00:00:00Z,326160,Xiyu,Wang,Xiyu Wang,CHN,2001-03-28,
65,66,887,27,3,2023-07-03T00:00:00Z,322087,Rebeka,Masarova,Rebeka Masarova,ESP,1999-08-06,
66,67,884,23,-4,2023-07-03T00:00:00Z,325725,Caty,Mcnally,Caty Mcnally,USA,2001-11-20,
67,68,882,25,-4,2023-07-03T00:00:00Z,327620,Elina,Avanesyan,Elina Avanesyan,RUS,2002-09-17,
68,69,868,24,-3,2023-07-03T00:00:00Z,317790,Aliaksandra,Sasnovich,Aliaksandra Sasnovich,BLR,1994-03-22,
69,70,858,34,-2,2023-07-03T00:00:00Z,320277,Magdalena,Frech,Magdalena Frech,POL,1997-12-15,
70,71,848,19,10,2023-07-03T00:00:00Z,325898,Camila,Osorio,Camila Osorio,COL,2001-12-22,
71,72,837,29,-2,2023-07-03T00:00:00Z,325936,Kamilla,Rakhimova,Kamilla Rakhimova,RUS,2001-08-28,
72,73,833,29,-2,2023-07-03T00:00:00Z,326376,Xinyu,Wang,Xinyu Wang,CHN,2001-09-26,
73,74,829,26,0,2023-07-03T00:00:00Z,312121,Alizé,Cornet,Alizé Cornet,FRA,1990-01-22,
74,75,814,21,-3,2023-07-03T00:00:00Z,317771,Rebecca,Peterson,Rebecca Peterson,SWE,1995-08-06,
75,76,798,10,-1,2023-07-03T00:00:00Z,316738,Elina,Svitolina,Elina Svitolina,UKR,1994-09-12,
76,77,792,28,-1,2023-07-03T00:00:00Z,318203,Anna Karolina,Schmiedlova,Anna Karolina Schmiedlova,SVK,1994-09-13,
77,78,790,30,-1,2023-07-03T00:00:00Z,321158,Cristina,Bucsa,Cristina Bucsa,ESP,1998-01-01,
78,79,787,33,1,2023-07-03T00:00:00Z,310761,Sara,Errani,Sara Errani,ITA,1987-04-29,
79,80,784,30,-2,2023-07-03T00:00:00Z,319112,Nadia,Podoroska,Nadia Podoroska,ARG,1997-02-10,
80,81,779,14,-2,2023-07-03T00:00:00Z,318425,Anett,Kontaveit,Anett Kontaveit,EST,1995-12-24,
81,82,762,26,0,2023-07-03T00:00:00Z,325956,Panna,Udvardy,Panna Udvardy,HUN,1998-09-28,
82,83,757,24,0,2023-07-03T00:00:00Z,313485,Rebecca,Marino,Rebecca Marino,CAN,1990-12-16,
83,84,754,15,0,2023-07-03T00:00:00Z,318872,Sara,Sorribes Tormo,Sara Sorribes Tormo,ESP,1996-10-08,
84,85,751,25,1,2023-07-03T00:00:00Z,316739,Kateryna,Baindl,Kateryna Baindl,UKR,1994-02-20,
85,86,747,29,-1,2023-07-03T00:00:00Z,313349,Arantxa,Rus,Arantxa Rus,NED,1990-12-13,
86,87,738,24,0,2023-07-03T00:00:00Z,319091,Anna-Lena,Friedsam,Anna-Lena Friedsam,GER,1994-02-01,
87,88,734,21,4,2023-07-03T00:00:00Z,317094,Maryna,Zanevska,Maryna Zanevska,BEL,1993-08-24,
88,89,733,21,-1,2023-07-03T00:00:00Z,319125,Katie,Boulter,Katie Boulter,GBR,1996-08-01,
89,90,732,22,-1,2023-07-03T00:00:00Z,317684,Danka,Kovinic,Danka Kovinic,MNE,1994-11-18,
90,91,730,27,-1,2023-07-03T00:00:00Z,317317,Ysaline,Bonaventure,Ysaline Bonaventure,BEL,1994-08-29,
91,92,725,22,-1,2023-07-03T00:00:00Z,327793,Clara,Tauson,Clara Tauson,DEN,2002-12-21,
92,93,722,23,2,2023-07-03T00:00:00Z,323966,Claire,Liu,Claire Liu,USA,2000-05-25,
93,94,713,21,-1,2023-07-03T00:00:00Z,324934,Olga,Danilovic,Olga Danilovic,SRB,2001-01-23,
94,95,712,20,1,2023-07-03T00:00:00Z,326735,Leylah,Fernandez,Leylah Fernandez,CAN,2002-09-06,
95,96,710,32,-2,2023-07-03T00:00:00Z,327077,Diane,Parry,Diane Parry,FRA,2002-09-01,
96,97,692,28,0,2023-07-03T00:00:00Z,326379,Elizabeth,Mandlik,Elizabeth Mandlik,USA,2001-05-19,
97,98,684,22,0,2023-07-03T00:00:00Z,330482,Diana,Shnaider,Diana Shnaider,RUS,2004-04-02,
98,99,680,28,0,2023-07-03T00:00:00Z,317584,Viktoriya,Tomova,Viktoriya Tomova,BUL,1995-02-25,
99,100,676,30,0,2023-07-03T00:00:00Z,322052,Caroline,Dolehide,Caroline Dolehide,USA,1998-09-05,
